Name,Dataset,Sequence length,Method,Metric_name,Metric
rp25.csv,RNA_PUZZLES,69,3drna,INF-NWC,0.0
rp25.csv,RNA_PUZZLES,69,vfold,INF-NWC,0.0
rp25.csv,RNA_PUZZLES,69,rnacomposer,INF-NWC,
rp25.csv,RNA_PUZZLES,69,rnajp,INF-NWC,0.0
rp25.csv,RNA_PUZZLES,69,simrna,INF-NWC,
rp25.csv,RNA_PUZZLES,69,best,INF-STACK,0.829
rp25.csv,RNA_PUZZLES,69,alphafold3,INF-STACK,0.796
rp25.csv,RNA_PUZZLES,69,trrosettarna,INF-STACK,0.643
rp25.csv,RNA_PUZZLES,69,vfoldpipeline,INF-STACK,0.759
rp25.csv,RNA_PUZZLES,69,rhofold,INF-STACK,0.554
rp25.csv,RNA_PUZZLES,69,mcsym,INF-STACK,0.585
rp25.csv,RNA_PUZZLES,69,eprna,INF-STACK,0.055
rp25.csv,RNA_PUZZLES,69,isrna,INF-STACK,0.618
rp25.csv,RNA_PUZZLES,69,3drna,INF-STACK,0.577
rp25.csv,RNA_PUZZLES,69,vfold,INF-STACK,0.584
rp25.csv,RNA_PUZZLES,69,rnacomposer,INF-STACK,0.704
rp25.csv,RNA_PUZZLES,69,rnajp,INF-STACK,0.54
rp25.csv,RNA_PUZZLES,69,simrna,INF-STACK,0.0
rp25.csv,RNA_PUZZLES,69,best,DI,3.064
rp25.csv,RNA_PUZZLES,69,alphafold3,DI,3.191
rp25.csv,RNA_PUZZLES,69,trrosettarna,DI,4.943
rp25.csv,RNA_PUZZLES,69,vfoldpipeline,DI,5.532
rp25.csv,RNA_PUZZLES,69,rhofold,DI,31.182
rp25.csv,RNA_PUZZLES,69,mcsym,DI,24.821
rp25.csv,RNA_PUZZLES,69,eprna,DI,513.256
rp25.csv,RNA_PUZZLES,69,isrna,DI,28.131
rp25.csv,RNA_PUZZLES,69,3drna,DI,41.957
rp25.csv,RNA_PUZZLES,69,vfold,DI,40.909
rp25.csv,RNA_PUZZLES,69,rnacomposer,DI,36.576
rp25.csv,RNA_PUZZLES,69,rnajp,DI,94.856
rp25.csv,RNA_PUZZLES,69,simrna,DI,inf
rp25.csv,RNA_PUZZLES,69,best,MCQ,19.11
rp25.csv,RNA_PUZZLES,69,alphafold3,MCQ,11.74
rp25.csv,RNA_PUZZLES,69,trrosettarna,MCQ,31.06
rp25.csv,RNA_PUZZLES,69,vfoldpipeline,MCQ,19.43
rp25.csv,RNA_PUZZLES,69,rhofold,MCQ,57.79
rp25.csv,RNA_PUZZLES,69,mcsym,MCQ,33.87
rp25.csv,RNA_PUZZLES,69,eprna,MCQ,93.66
rp25.csv,RNA_PUZZLES,69,isrna,MCQ,24.03
rp25.csv,RNA_PUZZLES,69,3drna,MCQ,28.9
rp25.csv,RNA_PUZZLES,69,vfold,MCQ,31.79
rp25.csv,RNA_PUZZLES,69,rnacomposer,MCQ,23.28
rp25.csv,RNA_PUZZLES,69,rnajp,MCQ,28.68
rp25.csv,RNA_PUZZLES,69,simrna,MCQ,56.58
rp25.csv,RNA_PUZZLES,69,best,TM-score,0.671
rp25.csv,RNA_PUZZLES,69,alphafold3,TM-score,0.654
rp25.csv,RNA_PUZZLES,69,trrosettarna,TM-score,0.66
rp25.csv,RNA_PUZZLES,69,vfoldpipeline,TM-score,0.644
rp25.csv,RNA_PUZZLES,69,rhofold,TM-score,0.238
rp25.csv,RNA_PUZZLES,69,mcsym,TM-score,0.26
rp25.csv,RNA_PUZZLES,69,eprna,TM-score,0.125
rp25.csv,RNA_PUZZLES,69,isrna,TM-score,0.235
rp25.csv,RNA_PUZZLES,69,3drna,TM-score,0.253
rp25.csv,RNA_PUZZLES,69,vfold,TM-score,0.228
rp25.csv,RNA_PUZZLES,69,rnacomposer,TM-score,0.224
rp25.csv,RNA_PUZZLES,69,rnajp,TM-score,0.191
rp25.csv,RNA_PUZZLES,69,simrna,TM-score,0.071
rp25.csv,RNA_PUZZLES,69,best,CAD,0.857
rp25.csv,RNA_PUZZLES,69,alphafold3,CAD,0.872
rp25.csv,RNA_PUZZLES,69,trrosettarna,CAD,0.786
rp25.csv,RNA_PUZZLES,69,vfoldpipeline,CAD,0.792
rp25.csv,RNA_PUZZLES,69,rhofold,CAD,0.601
rp25.csv,RNA_PUZZLES,69,mcsym,CAD,0.669
rp25.csv,RNA_PUZZLES,69,eprna,CAD,0.461
rp25.csv,RNA_PUZZLES,69,isrna,CAD,0.691
rp25.csv,RNA_PUZZLES,69,3drna,CAD,0.673
rp25.csv,RNA_PUZZLES,69,vfold,CAD,0.681
rp25.csv,RNA_PUZZLES,69,rnacomposer,CAD,0.703
rp25.csv,RNA_PUZZLES,69,rnajp,CAD,0.568
rp25.csv,RNA_PUZZLES,69,simrna,CAD,0.554
rp25.csv,RNA_PUZZLES,69,best,BARNABA-RMSD,0.232
rp25.csv,RNA_PUZZLES,69,alphafold3,BARNABA-RMSD,0.267
rp25.csv,RNA_PUZZLES,69,trrosettarna,BARNABA-RMSD,0.314
rp25.csv,RNA_PUZZLES,69,vfoldpipeline,BARNABA-RMSD,0.426
rp25.csv,RNA_PUZZLES,69,rhofold,BARNABA-RMSD,1.33
rp25.csv,RNA_PUZZLES,69,mcsym,BARNABA-RMSD,1.6
rp25.csv,RNA_PUZZLES,69,eprna,BARNABA-RMSD,1.667
rp25.csv,RNA_PUZZLES,69,isrna,BARNABA-RMSD,1.914
rp25.csv,RNA_PUZZLES,69,3drna,BARNABA-RMSD,2.517
rp25.csv,RNA_PUZZLES,69,vfold,BARNABA-RMSD,2.619
rp25.csv,RNA_PUZZLES,69,rnacomposer,BARNABA-RMSD,2.713
rp25.csv,RNA_PUZZLES,69,rnajp,BARNABA-RMSD,4.529
rp25.csv,RNA_PUZZLES,69,simrna,BARNABA-RMSD,5.941
rp25.csv,RNA_PUZZLES,69,best,BARNABA-eRMSD,1.01
rp25.csv,RNA_PUZZLES,69,alphafold3,BARNABA-eRMSD,0.934
rp25.csv,RNA_PUZZLES,69,trrosettarna,BARNABA-eRMSD,1.452
rp25.csv,RNA_PUZZLES,69,vfoldpipeline,BARNABA-eRMSD,1.406
rp25.csv,RNA_PUZZLES,69,rhofold,BARNABA-eRMSD,2.352
rp25.csv,RNA_PUZZLES,69,mcsym,BARNABA-eRMSD,1.653
rp25.csv,RNA_PUZZLES,69,eprna,BARNABA-eRMSD,2.412
rp25.csv,RNA_PUZZLES,69,isrna,BARNABA-eRMSD,1.666
rp25.csv,RNA_PUZZLES,69,3drna,BARNABA-eRMSD,1.698
rp25.csv,RNA_PUZZLES,69,vfold,BARNABA-eRMSD,1.621
rp25.csv,RNA_PUZZLES,69,rnacomposer,BARNABA-eRMSD,1.477
rp25.csv,RNA_PUZZLES,69,rnajp,BARNABA-eRMSD,1.865
rp25.csv,RNA_PUZZLES,69,simrna,BARNABA-eRMSD,1.948
rp25.csv,RNA_PUZZLES,69,best,BARNABA-eSCORE,1.803
rp25.csv,RNA_PUZZLES,69,alphafold3,BARNABA-eSCORE,2.031
rp25.csv,RNA_PUZZLES,69,trrosettarna,BARNABA-eSCORE,1.301
rp25.csv,RNA_PUZZLES,69,vfoldpipeline,BARNABA-eSCORE,1.617
rp25.csv,RNA_PUZZLES,69,rhofold,BARNABA-eSCORE,0.623
rp25.csv,RNA_PUZZLES,69,mcsym,BARNABA-eSCORE,1.578
rp25.csv,RNA_PUZZLES,69,eprna,BARNABA-eSCORE,0.114
rp25.csv,RNA_PUZZLES,69,isrna,BARNABA-eSCORE,1.459
rp25.csv,RNA_PUZZLES,69,3drna,BARNABA-eSCORE,1.426
rp25.csv,RNA_PUZZLES,69,vfold,BARNABA-eSCORE,1.137
rp25.csv,RNA_PUZZLES,69,rnacomposer,BARNABA-eSCORE,1.36
rp25.csv,RNA_PUZZLES,69,rnajp,BARNABA-eSCORE,0.736
rp25.csv,RNA_PUZZLES,69,simrna,BARNABA-eSCORE,0.068
rp25.csv,RNA_PUZZLES,69,best,CLASH,0.0
rp25.csv,RNA_PUZZLES,69,alphafold3,CLASH,0.0
rp25.csv,RNA_PUZZLES,69,trrosettarna,CLASH,0.0
rp25.csv,RNA_PUZZLES,69,vfoldpipeline,CLASH,0.0
rp25.csv,RNA_PUZZLES,69,rhofold,CLASH,0.0
rp25.csv,RNA_PUZZLES,69,mcsym,CLASH,0.0
rp25.csv,RNA_PUZZLES,69,eprna,CLASH,0.0
rp25.csv,RNA_PUZZLES,69,isrna,CLASH,0.0
rp25.csv,RNA_PUZZLES,69,3drna,CLASH,0.0
rp25.csv,RNA_PUZZLES,69,vfold,CLASH,0.0
rp25.csv,RNA_PUZZLES,69,rnacomposer,CLASH,0.0
rp25.csv,RNA_PUZZLES,69,rnajp,CLASH,0.0
rp25.csv,RNA_PUZZLES,69,simrna,CLASH,0.0
rp25.csv,RNA_PUZZLES,69,best,GDT-TS,0.743
rp25.csv,RNA_PUZZLES,69,alphafold3,GDT-TS,0.746
rp25.csv,RNA_PUZZLES,69,trrosettarna,GDT-TS,0.688
rp25.csv,RNA_PUZZLES,69,vfoldpipeline,GDT-TS,0.696
rp25.csv,RNA_PUZZLES,69,rhofold,GDT-TS,0.225
rp25.csv,RNA_PUZZLES,69,mcsym,GDT-TS,0.279
rp25.csv,RNA_PUZZLES,69,eprna,GDT-TS,0.134
rp25.csv,RNA_PUZZLES,69,isrna,GDT-TS,0.275
rp25.csv,RNA_PUZZLES,69,3drna,GDT-TS,0.29
rp25.csv,RNA_PUZZLES,69,vfold,GDT-TS,0.257
rp25.csv,RNA_PUZZLES,69,rnacomposer,GDT-TS,0.268
rp25.csv,RNA_PUZZLES,69,rnajp,GDT-TS,0.214
rp25.csv,RNA_PUZZLES,69,simrna,GDT-TS,0.094
rp25.csv,RNA_PUZZLES,69,best,GDT-TS@1,0.29
rp25.csv,RNA_PUZZLES,69,alphafold3,GDT-TS@1,0.391
rp25.csv,RNA_PUZZLES,69,trrosettarna,GDT-TS@1,0.188
rp25.csv,RNA_PUZZLES,69,vfoldpipeline,GDT-TS@1,0.464
rp25.csv,RNA_PUZZLES,69,rhofold,GDT-TS@1,0.101
rp25.csv,RNA_PUZZLES,69,mcsym,GDT-TS@1,0.203
rp25.csv,RNA_PUZZLES,69,eprna,GDT-TS@1,0.043
rp25.csv,RNA_PUZZLES,69,isrna,GDT-TS@1,0.188
rp25.csv,RNA_PUZZLES,69,3drna,GDT-TS@1,0.188
rp25.csv,RNA_PUZZLES,69,vfold,GDT-TS@1,0.116
rp25.csv,RNA_PUZZLES,69,rnacomposer,GDT-TS@1,0.174
rp25.csv,RNA_PUZZLES,69,rnajp,GDT-TS@1,0.101
rp25.csv,RNA_PUZZLES,69,simrna,GDT-TS@1,0.058
rp25.csv,RNA_PUZZLES,69,best,GDT-TS@2,0.71
rp25.csv,RNA_PUZZLES,69,alphafold3,GDT-TS@2,0.652
rp25.csv,RNA_PUZZLES,69,trrosettarna,GDT-TS@2,0.623
rp25.csv,RNA_PUZZLES,69,vfoldpipeline,GDT-TS@2,0.58
rp25.csv,RNA_PUZZLES,69,rhofold,GDT-TS@2,0.174
rp25.csv,RNA_PUZZLES,69,mcsym,GDT-TS@2,0.232
rp25.csv,RNA_PUZZLES,69,eprna,GDT-TS@2,0.101
rp25.csv,RNA_PUZZLES,69,isrna,GDT-TS@2,0.232
rp25.csv,RNA_PUZZLES,69,3drna,GDT-TS@2,0.246
rp25.csv,RNA_PUZZLES,69,vfold,GDT-TS@2,0.232
rp25.csv,RNA_PUZZLES,69,rnacomposer,GDT-TS@2,0.232
rp25.csv,RNA_PUZZLES,69,rnajp,GDT-TS@2,0.174
rp25.csv,RNA_PUZZLES,69,simrna,GDT-TS@2,0.072
rp25.csv,RNA_PUZZLES,69,best,GDT-TS@4,0.971
rp25.csv,RNA_PUZZLES,69,alphafold3,GDT-TS@4,0.942
rp25.csv,RNA_PUZZLES,69,trrosettarna,GDT-TS@4,0.942
rp25.csv,RNA_PUZZLES,69,vfoldpipeline,GDT-TS@4,0.768
rp25.csv,RNA_PUZZLES,69,rhofold,GDT-TS@4,0.246
rp25.csv,RNA_PUZZLES,69,mcsym,GDT-TS@4,0.275
rp25.csv,RNA_PUZZLES,69,eprna,GDT-TS@4,0.13
rp25.csv,RNA_PUZZLES,69,isrna,GDT-TS@4,0.275
rp25.csv,RNA_PUZZLES,69,3drna,GDT-TS@4,0.304
rp25.csv,RNA_PUZZLES,69,vfold,GDT-TS@4,0.319
rp25.csv,RNA_PUZZLES,69,rnacomposer,GDT-TS@4,0.304
rp25.csv,RNA_PUZZLES,69,rnajp,GDT-TS@4,0.261
rp25.csv,RNA_PUZZLES,69,simrna,GDT-TS@4,0.101
rp25.csv,RNA_PUZZLES,69,best,GDT-TS@8,1.0
rp25.csv,RNA_PUZZLES,69,alphafold3,GDT-TS@8,1.0
rp25.csv,RNA_PUZZLES,69,trrosettarna,GDT-TS@8,1.0
rp25.csv,RNA_PUZZLES,69,vfoldpipeline,GDT-TS@8,0.971
rp25.csv,RNA_PUZZLES,69,rhofold,GDT-TS@8,0.377
rp25.csv,RNA_PUZZLES,69,mcsym,GDT-TS@8,0.406
rp25.csv,RNA_PUZZLES,69,eprna,GDT-TS@8,0.261
rp25.csv,RNA_PUZZLES,69,isrna,GDT-TS@8,0.406
rp25.csv,RNA_PUZZLES,69,3drna,GDT-TS@8,0.42
rp25.csv,RNA_PUZZLES,69,vfold,GDT-TS@8,0.362
rp25.csv,RNA_PUZZLES,69,rnacomposer,GDT-TS@8,0.362
rp25.csv,RNA_PUZZLES,69,rnajp,GDT-TS@8,0.319
rp25.csv,RNA_PUZZLES,69,simrna,GDT-TS@8,0.145
rp25.csv,RNA_PUZZLES,69,best,lDDT,0.761
rp25.csv,RNA_PUZZLES,69,alphafold3,lDDT,0.629
rp25.csv,RNA_PUZZLES,69,trrosettarna,lDDT,0.613
rp25.csv,RNA_PUZZLES,69,vfoldpipeline,lDDT,0.539
rp25.csv,RNA_PUZZLES,69,rhofold,lDDT,0.303
rp25.csv,RNA_PUZZLES,69,mcsym,lDDT,0.005
rp25.csv,RNA_PUZZLES,69,eprna,lDDT,0.0
rp25.csv,RNA_PUZZLES,69,isrna,lDDT,0.412
rp25.csv,RNA_PUZZLES,69,3drna,lDDT,0.414
rp25.csv,RNA_PUZZLES,69,vfold,lDDT,0.004
rp25.csv,RNA_PUZZLES,69,rnacomposer,lDDT,0.409
rp25.csv,RNA_PUZZLES,69,rnajp,lDDT,0.008
rp25.csv,RNA_PUZZLES,69,simrna,lDDT,0.0
rp25.csv,RNA_PUZZLES,69,best,LCS-TA-COVERAGE-10,17.391
rp25.csv,RNA_PUZZLES,69,alphafold3,LCS-TA-COVERAGE-10,69.565
rp25.csv,RNA_PUZZLES,69,trrosettarna,LCS-TA-COVERAGE-10,2.899
rp25.csv,RNA_PUZZLES,69,vfoldpipeline,LCS-TA-COVERAGE-10,
rp25.csv,RNA_PUZZLES,69,rhofold,LCS-TA-COVERAGE-10,2.899
rp25.csv,RNA_PUZZLES,69,mcsym,LCS-TA-COVERAGE-10,1.449
rp25.csv,RNA_PUZZLES,69,eprna,LCS-TA-COVERAGE-10,
rp25.csv,RNA_PUZZLES,69,isrna,LCS-TA-COVERAGE-10,10.145
rp25.csv,RNA_PUZZLES,69,3drna,LCS-TA-COVERAGE-10,10.145
rp25.csv,RNA_PUZZLES,69,vfold,LCS-TA-COVERAGE-10,
rp25.csv,RNA_PUZZLES,69,rnacomposer,LCS-TA-COVERAGE-10,11.594
rp25.csv,RNA_PUZZLES,69,rnajp,LCS-TA-COVERAGE-10,
rp25.csv,RNA_PUZZLES,69,simrna,LCS-TA-COVERAGE-10,
rp25.csv,RNA_PUZZLES,69,best,LCS-TA-RESIDUES-10,12.0
rp25.csv,RNA_PUZZLES,69,alphafold3,LCS-TA-RESIDUES-10,48.0
rp25.csv,RNA_PUZZLES,69,trrosettarna,LCS-TA-RESIDUES-10,2.0
rp25.csv,RNA_PUZZLES,69,vfoldpipeline,LCS-TA-RESIDUES-10,
rp25.csv,RNA_PUZZLES,69,rhofold,LCS-TA-RESIDUES-10,2.0
rp25.csv,RNA_PUZZLES,69,mcsym,LCS-TA-RESIDUES-10,1.0
rp25.csv,RNA_PUZZLES,69,eprna,LCS-TA-RESIDUES-10,
rp25.csv,RNA_PUZZLES,69,isrna,LCS-TA-RESIDUES-10,7.0
rp25.csv,RNA_PUZZLES,69,3drna,LCS-TA-RESIDUES-10,7.0
rp25.csv,RNA_PUZZLES,69,vfold,LCS-TA-RESIDUES-10,
rp25.csv,RNA_PUZZLES,69,rnacomposer,LCS-TA-RESIDUES-10,8.0
rp25.csv,RNA_PUZZLES,69,rnajp,LCS-TA-RESIDUES-10,
rp25.csv,RNA_PUZZLES,69,simrna,LCS-TA-RESIDUES-10,
rp24.csv,RNA_PUZZLES,111,trrosettarna,RMSD,2.168
rp24.csv,RNA_PUZZLES,111,3drna,RMSD,8.541
rp24.csv,RNA_PUZZLES,111,vfold,RMSD,12.622
rp24.csv,RNA_PUZZLES,111,rnacomposer,RMSD,12.991
rp24.csv,RNA_PUZZLES,111,isrna,RMSD,15.127
rp24.csv,RNA_PUZZLES,111,simrna,RMSD,15.737
rp24.csv,RNA_PUZZLES,111,mcsym,RMSD,17.284
rp24.csv,RNA_PUZZLES,111,alphafold3,RMSD,19.161
rp24.csv,RNA_PUZZLES,111,rnajp,RMSD,20.199
rp24.csv,RNA_PUZZLES,111,rhofold,RMSD,25.358
rp24.csv,RNA_PUZZLES,111,ifoldrna,RMSD,29.566
rp24.csv,RNA_PUZZLES,111,eprna,RMSD,30.991
rp24.csv,RNA_PUZZLES,111,best,RMSD,
rp24.csv,RNA_PUZZLES,111,trrosettarna,P-VALUE,0.0
rp24.csv,RNA_PUZZLES,111,3drna,P-VALUE,0.0
rp24.csv,RNA_PUZZLES,111,vfold,P-VALUE,0.0
rp24.csv,RNA_PUZZLES,111,rnacomposer,P-VALUE,0.0
rp24.csv,RNA_PUZZLES,111,isrna,P-VALUE,0.0
rp24.csv,RNA_PUZZLES,111,simrna,P-VALUE,0.0
rp24.csv,RNA_PUZZLES,111,mcsym,P-VALUE,1.887379141862766e-15
rp24.csv,RNA_PUZZLES,111,alphafold3,P-VALUE,4.622191518421914e-12
rp24.csv,RNA_PUZZLES,111,rnajp,P-VALUE,2.1753793211232164e-10
rp24.csv,RNA_PUZZLES,111,rhofold,P-VALUE,0.0003694647749254
rp24.csv,RNA_PUZZLES,111,ifoldrna,P-VALUE,0.1498067987142748
rp24.csv,RNA_PUZZLES,111,eprna,P-VALUE,0.4030185812256529
rp24.csv,RNA_PUZZLES,111,best,P-VALUE,
rp24.csv,RNA_PUZZLES,111,trrosettarna,INF-ALL,0.816
rp24.csv,RNA_PUZZLES,111,3drna,INF-ALL,0.79
rp24.csv,RNA_PUZZLES,111,vfold,INF-ALL,0.792
rp24.csv,RNA_PUZZLES,111,rnacomposer,INF-ALL,0.818
rp24.csv,RNA_PUZZLES,111,isrna,INF-ALL,0.818
rp24.csv,RNA_PUZZLES,111,simrna,INF-ALL,0.857
rp24.csv,RNA_PUZZLES,111,mcsym,INF-ALL,0.833
rp24.csv,RNA_PUZZLES,111,alphafold3,INF-ALL,0.86
rp24.csv,RNA_PUZZLES,111,rnajp,INF-ALL,0.873
rp24.csv,RNA_PUZZLES,111,rhofold,INF-ALL,0.211
rp24.csv,RNA_PUZZLES,111,ifoldrna,INF-ALL,0.266
rp24.csv,RNA_PUZZLES,111,eprna,INF-ALL,0.0
rp24.csv,RNA_PUZZLES,111,best,INF-ALL,0.444
rp24.csv,RNA_PUZZLES,111,trrosettarna,INF-WC,0.934
rp24.csv,RNA_PUZZLES,111,3drna,INF-WC,0.863
rp24.csv,RNA_PUZZLES,111,vfold,INF-WC,0.945
rp24.csv,RNA_PUZZLES,111,rnacomposer,INF-WC,0.946
rp24.csv,RNA_PUZZLES,111,isrna,INF-WC,0.946
rp24.csv,RNA_PUZZLES,111,simrna,INF-WC,0.968
rp24.csv,RNA_PUZZLES,111,mcsym,INF-WC,0.957
rp24.csv,RNA_PUZZLES,111,alphafold3,INF-WC,0.89
rp24.csv,RNA_PUZZLES,111,rnajp,INF-WC,0.946
rp24.csv,RNA_PUZZLES,111,rhofold,INF-WC,0.0
rp24.csv,RNA_PUZZLES,111,ifoldrna,INF-WC,0.0
rp24.csv,RNA_PUZZLES,111,eprna,INF-WC,0.0
rp24.csv,RNA_PUZZLES,111,best,INF-WC,0.0
rp24.csv,RNA_PUZZLES,111,trrosettarna,INF-NWC,0.0
rp24.csv,RNA_PUZZLES,111,3drna,INF-NWC,0.0
rp24.csv,RNA_PUZZLES,111,vfold,INF-NWC,0.0
rp24.csv,RNA_PUZZLES,111,rnacomposer,INF-NWC,0.0
rp24.csv,RNA_PUZZLES,111,isrna,INF-NWC,0.0
rp24.csv,RNA_PUZZLES,111,simrna,INF-NWC,0.0
rp24.csv,RNA_PUZZLES,111,mcsym,INF-NWC,0.0
rp24.csv,RNA_PUZZLES,111,alphafold3,INF-NWC,0.0
rp24.csv,RNA_PUZZLES,111,rnajp,INF-NWC,
rp24.csv,RNA_PUZZLES,111,rhofold,INF-NWC,0.0
rp24.csv,RNA_PUZZLES,111,ifoldrna,INF-NWC,0.0
rp24.csv,RNA_PUZZLES,111,eprna,INF-NWC,0.0
rp24.csv,RNA_PUZZLES,111,best,INF-NWC,0.0
rp24.csv,RNA_PUZZLES,111,trrosettarna,INF-STACK,0.787
rp24.csv,RNA_PUZZLES,111,3drna,INF-STACK,0.778
rp24.csv,RNA_PUZZLES,111,vfold,INF-STACK,0.741
rp24.csv,RNA_PUZZLES,111,rnacomposer,INF-STACK,0.774
rp24.csv,RNA_PUZZLES,111,isrna,INF-STACK,0.771
rp24.csv,RNA_PUZZLES,111,simrna,INF-STACK,0.813
rp24.csv,RNA_PUZZLES,111,mcsym,INF-STACK,0.783
rp24.csv,RNA_PUZZLES,111,alphafold3,INF-STACK,0.861
rp24.csv,RNA_PUZZLES,111,rnajp,INF-STACK,0.851
rp24.csv,RNA_PUZZLES,111,rhofold,INF-STACK,0.365
rp24.csv,RNA_PUZZLES,111,ifoldrna,INF-STACK,0.463
rp24.csv,RNA_PUZZLES,111,eprna,INF-STACK,0.0
rp24.csv,RNA_PUZZLES,111,best,INF-STACK,0.672
rp24.csv,RNA_PUZZLES,111,trrosettarna,DI,2.658
rp24.csv,RNA_PUZZLES,111,3drna,DI,10.815
rp24.csv,RNA_PUZZLES,111,vfold,DI,15.935
rp24.csv,RNA_PUZZLES,111,rnacomposer,DI,15.885
rp24.csv,RNA_PUZZLES,111,isrna,DI,18.496
rp24.csv,RNA_PUZZLES,111,simrna,DI,18.36
rp24.csv,RNA_PUZZLES,111,mcsym,DI,20.754
rp24.csv,RNA_PUZZLES,111,alphafold3,DI,22.274
rp24.csv,RNA_PUZZLES,111,rnajp,DI,23.148
rp24.csv,RNA_PUZZLES,111,rhofold,DI,119.967
rp24.csv,RNA_PUZZLES,111,ifoldrna,DI,111.096
rp24.csv,RNA_PUZZLES,111,eprna,DI,inf
rp24.csv,RNA_PUZZLES,111,best,DI,
rp24.csv,RNA_PUZZLES,111,trrosettarna,MCQ,19.36
rp24.csv,RNA_PUZZLES,111,3drna,MCQ,23.15
rp24.csv,RNA_PUZZLES,111,vfold,MCQ,23.63
rp24.csv,RNA_PUZZLES,111,rnacomposer,MCQ,21.28
